Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
1,San Antonio Spurs,2003,16,14,14,27,4,11,11,11,17,27,1,9,5,26,20,5,11,22,17,1,23,5,12,11,8,20,2,3,4,7,15,25,3,2,2,24,20,3,7,3,18,17,12,4,3,1,1,3,3,3,12,3,7,3,20,2,7,4,24,13,5,2,12,17,3,SBC Center,11
2,New Jersey Nets,2003,14,26,17,18,14,22,22,22,12,12,13,5,5,15,13,12,10,7,5,21,15,13,14,2,5,8,2,12,11,20,4,9,2,9,11,6,7,12,9,5,22,19,3,8,2,8,8,4,4,4,29,4,18,1,10,7,22,21,16,14,7,4,3,5,14,Continental Airlines Arena,23
3,Dallas Mavericks,2003,10,24,3,2,7,2,2,3,15,19,7,15,26,1,24,8,17,9,11,13,1,9,1,5,15,17,11,26,28,8,9,10,15,11,17,1,23,28,28,16,3,3,5,19,16,1,1,1,1,1,14,1,1,9,7,28,2,3,1,27,20,15,8,19,10,American Airlines Center,3
4,Detroit Pistons,2003,8,5,26,28,24,6,6,8,28,28,24,12,12,9,26,18,25,23,28,7,5,10,25,21,3,3,11,1,1,12,9,14,6,8,8,5,1,19,8,2,4,5,23,6,1,5,5,5,5,5,28,5,15,4,29,9,3,14,6,24,9,5,15,1,14,The Palace of Auburn Hills,1
5,Sacramento Kings,2003,7,14,1,1,3,7,8,3,2,7,3,24,24,18,25,1,3,3,2,10,12,4,3,11,19,28,1,5,9,1,25,28,1,9,13,2,28,26,29,13,20,5,10,28,16,3,3,2,2,2,13,2,6,2,1,26,12,2,6,25,28,1,18,21,5,ARCO Arena (II),12
6,Los Angeles Lakers,2003,6,1,4,4,9,8,7,10,7,13,7,12,8,25,5,7,4,4,15,7,12,25,4,26,18,21,17,25,16,29,15,18,9,23,22,16,13,17,14,12,15,1,17,4,23,5,5,8,8,9,9,9,4,19,7,12,8,8,6,8,13,16,20,8,20,STAPLES Center,9
7,Philadelphia 76ers,2003,6,10,11,15,10,27,28,28,3,2,10,2,4,8,7,20,16,14,1,28,15,18,9,17,11,5,22,21,21,18,7,5,23,18,17,16,4,7,4,18,12,28,1,7,15,9,9,8,8,10,25,12,11,11,13,5,27,23,13,6,3,26,2,8,22,First Union Center,4
8,Boston Celtics,2003,4,14,26,21,27,1,1,21,29,29,23,17,16,22,28,14,26,27,3,25,7,11,22,11,6,7,7,24,28,4,5,2,16,19,19,6,7,29,26,19,7,8,5,12,12,13,13,18,18,18,21,19,24,7,17,14,1,19,10,29,14,13,5,10,21,FleetCenter,13
9,Orlando Magic,2003,3,20,13,7,22,5,3,9,25,24,18,7,9,6,16,21,23,21,8,25,10,26,6,7,22,14,25,8,15,5,23,13,29,25,25,22,14,24,22,21,12,12,4,10,24,16,16,16,16,16,24,17,10,20,5,13,4,11,6,21,12,25,5,18,23,TD Waterhouse Centre,26
10,Portland Trail Blazers,2003,3,10,10,22,5,19,16,24,7,18,2,19,17,19,13,24,22,8,3,24,19,2,15,17,16,12,21,14,23,11,13,7,23,1,1,19,4,2,2,23,20,10,9,24,10,5,5,7,7,7,11,5,8,13,22,15,16,5,21,8,15,21,7,12,1,Rose Garden Arena,6
11,Milwaukee Bucks,2003,2,5,7,13,6,4,5,1,17,25,6,15,20,7,27,27,28,10,18,22,2,21,5,21,26,15,27,26,21,27,20,12,26,20,21,4,20,20,21,25,2,4,18,23,25,16,16,15,15,15,23,16,2,28,19,18,6,1,2,25,17,29,19,26,19,Bradley Center,17
12,Minnesota Timberwolves,2003,2,20,2,5,2,24,27,6,1,1,5,23,24,10,16,3,7,2,29,15,6,7,7,7,21,25,9,26,25,14,18,19,12,6,7,10,15,9,12,24,5,11,27,22,18,4,4,11,11,12,8,10,5,16,9,25,28,6,4,15,23,14,26,7,4,Target Center,18
13,Indiana Pacers,2003,2,5,14,16,14,19,19,20,14,13,17,4,3,13,12,2,5,4,8,14,15,20,9,21,8,19,4,9,13,8,9,17,4,16,15,22,18,12,15,8,9,27,11,3,13,9,9,6,6,6,27,7,13,5,10,3,19,20,13,12,3,3,10,12,18,Conseco Fieldhouse,15
14,Phoenix Suns,2003,2,20,8,6,13,17,16,18,7,8,11,21,19,22,6,18,13,17,11,17,14,18,13,7,14,16,11,14,25,1,12,11,20,11,10,20,22,16,19,19,12,24,5,17,14,13,13,14,14,14,6,13,19,11,12,20,18,14,13,10,22,10,8,23,12,America West Arena,16
15,New Orleans Hornets,2003,2,5,14,12,23,15,21,5,16,9,25,18,20,11,4,13,7,11,13,18,15,13,19,21,7,11,11,2,3,6,17,20,11,11,9,20,4,5,3,6,15,19,16,18,5,11,11,11,11,11,26,14,16,7,22,20,21,24,18,3,18,7,14,5,16,New Orleans Arena,19
16,Utah Jazz,2003,1,24,18,29,1,29,29,15,4,11,4,2,2,19,8,24,20,1,7,7,26,22,17,5,3,4,6,14,20,16,3,6,8,23,24,13,18,1,1,4,25,19,8,1,6,11,11,8,8,8,10,8,8,15,24,1,29,8,27,2,1,8,4,24,25,Delta Center,7
1,Detroit Pistons,2004,16,19,24,26,18,23,26,15,18,14,21,9,9,13,12,12,9,15,13,1,18,4,24,8,3,7,3,4,8,1,5,9,4,2,2,7,11,3,5,5,13,11,6,5,1,6,6,2,2,2,28,4,18,2,24,6,25,20,20,9,4,2,6,12,3,The Palace of Auburn Hills,1
2,Los Angeles Lakers,2004,13,7,4,7,4,22,20,25,4,5,3,5,1,28,13,7,6,4,10,21,5,13,3,20,16,19,16,10,18,7,19,16,18,15,13,14,7,25,15,12,6,2,11,1,15,4,4,7,7,7,10,7,6,8,6,2,22,7,4,16,7,15,14,6,16,STAPLES Center,7
3,Minnesota Timberwolves,2004,10,23,3,14,1,25,27,5,2,4,4,25,26,5,25,2,8,6,26,7,2,13,10,5,9,15,4,7,8,6,9,21,3,9,10,19,15,7,12,11,1,1,26,23,7,2,2,4,4,4,13,2,5,6,21,27,27,4,2,23,24,3,26,9,9,Target Center,11
4,Indiana Pacers,2004,10,15,22,25,18,9,10,9,23,25,17,11,14,11,17,16,18,12,5,11,9,9,20,12,6,2,9,3,3,3,9,7,10,4,4,17,1,8,3,7,3,28,7,12,3,1,1,3,3,3,29,5,9,3,26,11,8,15,11,13,8,6,1,3,11,Conseco Fieldhouse,16
5,Sacramento Kings,2004,7,19,2,6,1,2,4,1,10,22,2,6,11,2,24,12,21,1,7,25,6,2,2,8,28,29,25,8,11,10,29,29,25,3,3,14,28,19,25,14,13,11,16,9,24,5,5,5,5,5,12,3,2,21,4,14,5,1,6,26,9,23,19,23,2,ARCO Arena (II),13
6,New Jersey Nets,2004,7,28,19,23,16,20,19,21,15,20,12,21,21,13,26,14,25,2,8,27,11,12,22,1,7,4,5,10,10,18,4,5,5,6,5,22,1,12,6,6,16,5,4,15,4,9,9,8,8,8,25,10,25,4,18,20,18,15,18,27,19,7,1,3,13,Continental Airlines Arena,26
7,San Antonio Spurs,2004,6,23,15,20,12,17,18,6,15,16,15,20,10,29,11,1,3,19,11,3,11,4,19,5,2,8,1,2,2,4,6,20,2,5,6,7,5,11,7,1,10,5,11,8,1,3,3,1,1,1,14,1,15,1,19,8,17,14,11,10,19,1,10,1,9,SBC Center,10
8,Miami Heat,2004,6,23,26,21,25,7,7,7,25,23,26,18,19,12,20,15,20,28,21,28,6,21,22,5,5,3,6,16,19,14,3,2,7,25,24,26,4,16,8,3,2,21,18,16,8,12,12,13,13,13,27,15,15,9,22,17,6,19,7,21,14,9,13,5,28,AmericanAirlines Arena,24
9,New Orleans Hornets,2004,3,11,21,11,27,4,2,28,26,26,19,19,18,17,6,18,9,14,8,24,16,10,17,16,12,10,18,18,22,11,12,6,19,8,7,17,10,14,14,19,6,17,9,16,11,14,14,14,14,14,24,18,14,12,20,19,2,22,11,7,18,16,8,16,11,New Orleans Arena,28
10,Dallas Mavericks,2004,1,15,1,1,3,6,5,11,1,3,1,15,21,1,1,5,2,3,13,10,1,3,1,12,27,28,27,28,28,25,24,14,28,12,12,10,16,25,21,27,3,7,15,20,28,7,7,6,6,6,11,6,1,26,2,29,9,3,1,3,26,28,17,14,6,American Airlines Center,2
11,Milwaukee Bucks,2004,1,19,6,10,6,19,17,10,6,8,10,2,5,7,18,11,16,7,26,17,3,4,4,8,24,23,23,22,21,19,23,18,22,9,11,4,11,19,16,21,6,11,20,5,21,14,14,11,11,12,26,12,4,23,9,5,19,10,3,20,3,24,20,12,5,Bradley Center,14
12,Denver Nuggets,2004,1,26,5,2,9,25,25,21,4,2,14,3,6,9,7,24,15,9,3,5,20,20,5,3,23,20,24,6,4,21,26,28,20,14,17,1,24,12,19,26,18,27,1,3,19,11,11,11,11,11,7,11,8,13,1,11,26,17,16,8,5,20,5,26,13,Pepsi Center,12
13,Houston Rockets,2004,1,3,25,28,12,5,6,3,27,28,12,24,25,8,28,2,13,24,26,8,28,18,25,27,3,9,2,22,14,27,2,8,1,17,18,3,5,3,2,10,26,4,26,18,5,10,10,10,10,10,8,9,24,5,25,21,4,6,29,25,17,4,24,2,19,Toyota Center,22
14,Memphis Grizzlies,2004,0,5,7,9,8,9,8,20,8,14,7,9,7,24,8,25,17,5,1,2,16,27,7,24,13,12,12,5,5,8,16,22,13,26,25,24,29,18,26,8,21,25,3,3,15,8,8,9,9,9,9,8,7,11,10,8,10,8,9,10,13,10,1,29,25,Pyramid Arena,25
15,Boston Celtics,2004,0,28,15,22,9,3,3,12,24,27,6,8,8,18,27,17,27,17,2,25,24,24,8,1,15,15,14,29,29,24,8,4,15,23,26,2,25,22,23,23,27,11,1,9,20,20,20,17,17,19,23,20,17,17,2,7,3,4,24,28,5,19,1,24,22,FleetCenter,20
16,New York Knicks,2004,0,5,13,17,12,17,20,4,12,11,16,23,27,3,19,5,13,16,19,15,21,26,16,24,11,11,8,10,14,8,11,11,7,28,27,23,8,10,9,8,21,7,23,27,13,17,17,20,20,20,22,19,20,14,17,26,20,13,23,19,22,8,23,8,27,Madison Square Garden (IV),5
1,San Antonio Spurs,2005,16,17,19,21,10,11,12,8,20,23,8,22,16,26,15,11,11,13,16,1,7,5,18,13,3,6,3,1,1,24,10,23,1,6,6,25,3,10,6,1,9,20,11,13,1,2,2,1,1,1,15,1,8,1,23,12,11,6,12,12,21,1,5,3,11,SBC Center,9
2,Detroit Pistons,2005,15,3,23,22,17,22,22,21,16,12,20,16,13,23,6,9,4,11,20,3,10,2,24,28,8,12,5,3,4,4,8,12,5,2,2,12,7,5,4,4,12,7,21,17,2,5,5,5,5,6,29,6,17,3,29,11,22,23,13,4,14,5,18,5,3,The Palace of Auburn Hills,1
3,Miami Heat,2005,11,2,3,26,1,14,16,3,10,22,1,13,2,30,25,2,6,11,28,5,7,11,4,29,10,20,4,8,11,10,11,22,3,17,16,19,6,9,7,5,14,1,26,2,8,2,2,2,2,3,30,4,5,6,14,1,15,2,11,25,10,4,26,2,14,AmericanAirlines Arena,4
4,Phoenix Suns,2005,9,19,1,2,2,1,1,1,14,24,2,19,19,22,18,1,1,3,20,9,7,1,1,8,30,30,14,25,28,3,30,30,16,1,1,4,30,26,29,14,17,4,21,26,30,1,1,2,2,2,16,2,1,17,1,26,1,1,3,22,24,10,28,29,1,America West Arena,11
5,Dallas Mavericks,2005,6,27,4,7,8,15,15,6,12,11,6,1,5,4,14,7,8,26,4,7,4,13,3,3,15,22,7,12,25,1,16,20,11,14,13,15,27,19,24,11,7,14,6,12,14,4,4,4,4,4,13,3,4,9,9,9,17,6,4,16,3,7,9,23,12,American Airlines Center,3
